rbi,hr,obp,avg,age,obp pred,"obp	real",error
19,1,0.265,0.223,1990,0.298347154,0.339,0.040652846
88,20,0.337,0.297,1988,0.356735971,0.308,-0.048735971
57,11,0.35,0.304,1990,0.332144817,0.325,-0.007144817
37,11,0.308,0.215,1991,0.316085628,0.336,0.019914372
94,25,0.385,0.318,1989,0.362756914,0.322,-0.040756914
82,26,0.367,0.26,1991,0.354225471,0.366,0.011774529
55,12,0.311,0.263,1986,0.331882124,0.284,-0.047882124
86,20,0.313,0.261,1985,0.356079591,0.281,-0.075079591
31,5,0.342,0.249,1986,0.312566306,0.378,0.065433694
89,33,0.337,0.273,1993,0.359491615,0.352,-0.007491615
71,28,0.403,0.307,1989,0.349217369,0.388,0.038782631
61,12,0.309,0.255,1989,0.334780938,0.299,-0.035780938
90,33,0.345,0.278,1992,0.360688551,0.291,-0.069688551
85,34,0.367,0.283,1989,0.35947517,0.346,-0.01347517
3,1,0.179,0.164,1990,0.284091871,0,-0.284091871
132,59,0.376,0.281,1989,0.392984826,0.343,-0.049984826
22,0,0.327,0.255,1987,0.30315881,0.285,-0.01815881
20,2,0.365,0.253,1989,0.302361351,0.309,0.006638649
13,3,0.337,0.246,1983,0.299550706,0.262,-0.037550706
35,11,0.305,0.251,1991,0.314547394,0.34,0.025452606
62,23,0.32,0.242,1983,0.342063985,0.313,-0.029063985
67,13,0.315,0.26,1983,0.341982085,0.258,-0.083982085
40,7,0.326,0.274,1985,0.320045578,0.307,-0.013045578
20,3,0.318,0.255,1973,0.30899396,0.255,-0.05399396
65,17,0.332,0.278,1991,0.338995216,0.34,0.001004784
63,17,0.323,0.245,1990,0.337803667,0.314,-0.023803667
4,1,0.233,0.211,1988,0.28711547,0.211,-0.07611547
5,1,0.145,0.131,1986,0.28664756,0.188,-0.09864756
105,30,0.357,0.248,1990,0.369952994,0.307,-0.062952994
35,16,0.319,0.243,1991,0.316671633,0.275,-0.041671633
49,13,0.318,0.253,1990,0.326321299,0.267,-0.059321299
30,5,0.324,0.251,1984,0.312306477,0.282,-0.030306477
47,10,0.333,0.242,1987,0.325487822,0.257,-0.068487822
59,11,0.326,0.259,1989,0.333416412,0.335,0.001583588
35,12,0.291,0.232,1987,0.316395294,0.315,-0.001395294
75,23,0.317,0.273,1992,0.347099651,0.326,-0.021099651
45,11,0.349,0.3,1990,0.323455519,0.341,0.017544481
69,14,0.36,0.277,1984,0.344311131,0.353,0.008688869
67,20,0.341,0.272,1988,0.342871105,0.346,0.003128895
11,2,0.277,0.215,1983,0.296204677,0.272,-0.024204677
2,1,0.094,0.094,1985,0.283591401,0.1,-0.183591401
14,4,0.269,0.173,1991,0.295251939,0.273,-0.022251939
52,16,0.331,0.265,1990,0.329854086,0.352,0.022145914
29,7,0.289,0.256,1988,0.309613742,0.247,-0.062613742
18,6,0.287,0.207,1990,0.29994344,0.268,-0.03194344
35,11,0.331,0.212,1992,0.314684175,0.321,0.006315825
71,7,0.384,0.305,1983,0.344252536,0.351,0.006747464
53,10,0.347,0.288,1990,0.328849856,0.307,-0.021849856
80,41,0.333,0.209,1993,0.35605827,0.312,-0.04405827
100,36,0.454,0.32,1983,0.373284461,0.417,0.043715539
22,6,0.326,0.266,1989,0.304409609,0.312,0.007590391
6,1,0.203,0.148,1984,0.289751148,0.119,-0.170751148
58,14,0.326,0.255,1986,0.335052233,0.315,-0.020052233
74,13,0.313,0.256,1993,0.342552732,0.345,0.002447268
6,2,0.245,0.144,1992,0.28736981,0.354,0.06663019
102,33,0.354,0.304,1987,0.370112861,0.325,-0.045112861
81,24,0.41,0.346,1990,0.35431561,0.386,0.03168439
54,6,0.288,0.255,1990,0.326739407,0.31,-0.016739407
11,4,0.248,0.17,1984,0.295747454,0.246,-0.049747454
