rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
22,0,0.327,0.255,1987,0.234176874,0.234,0.000176874,,0.000176874,
20,2,0.365,0.253,1989,0.233898884,0.221,0.012898884,,0.012898884,
13,3,0.337,0.246,1983,0.234234643,0.217,0.017234643,,0.017234643,
35,11,0.305,0.251,1991,0.240318895,0.254,-0.013681105,,0.013681105,
62,23,0.32,0.242,1983,0.260183728,0.254,0.006183728,,0.006183728,
67,13,0.315,0.26,1983,0.258503116,0.226,0.032503116,,0.032503116,
40,7,0.326,0.274,1985,0.244847048,0.236,0.008847048,,0.008847048,
20,3,0.318,0.255,1973,0.24219294,0.205,0.03719294,,0.03719294,
65,17,0.332,0.278,1991,0.254972049,0.277,-0.022027951,,0.022027951,
63,17,0.323,0.245,1990,0.254500201,0.234,0.020500201,,0.020500201,
4,1,0.233,0.211,1988,0.224659408,0.164,0.060659408,,0.060659408,
5,1,0.145,0.131,1986,0.223948324,0.133,0.090948324,,0.090948324,
105,30,0.357,0.248,1990,0.276490442,0.222,0.054490442,,0.054490442,
35,16,0.319,0.243,1991,0.24243231,0.211,0.03143231,,0.03143231,
49,13,0.318,0.253,1990,0.247434313,0.22,0.027434313,,0.027434313,
30,5,0.324,0.251,1984,0.240705977,0.189,0.051705977,,0.051705977,
47,10,0.333,0.242,1987,0.247668053,0.143,0.104668053,,0.104668053,
59,11,0.326,0.259,1989,0.251448943,0.27,-0.018551057,,0.018551057,
35,12,0.291,0.232,1987,0.242596924,0.23,0.012596924,,0.012596924,
75,23,0.317,0.273,1992,0.260093212,0.29,-0.029906788,,0.029906788,
45,11,0.349,0.3,1990,0.245967769,0.304,-0.058032231,,0.058032231,
69,14,0.36,0.277,1984,0.260222302,0.267,-0.006777698,,0.006777698,
67,20,0.341,0.272,1988,0.258780039,0.262,-0.003219961,,0.003219961,
11,2,0.277,0.215,1983,0.23160598,0.2,0.03160598,,0.03160598,
2,1,0.094,0.094,1985,0.222087147,0.1,0.122087147,,0.122087147,
14,4,0.269,0.173,1991,0.228708572,0.216,0.012708572,,0.012708572,
52,16,0.331,0.265,1990,0.250022565,0.274,-0.023977435,,0.023977435,
29,7,0.289,0.256,1988,0.237875592,0.209,0.028875592,,0.028875592,
18,6,0.287,0.207,1990,0.232000504,0.188,0.044000504,,0.044000504,
35,11,0.331,0.212,1992,0.240355302,0.248,-0.007644698,,0.007644698,
71,7,0.384,0.305,1983,0.259727385,0.282,-0.022272615,,0.022272615,
53,10,0.347,0.288,1990,0.248703888,0.254,-0.005296112,,0.005296112,
80,41,0.333,0.209,1993,0.268199515,0.206,0.062199515,,0.062199515,
